drive,target_m,i0,i1,dist_m,dur_s,speed_kmh,cal_scale,err_frozen,err_AI + gyro,err_AI + road,err_perfect + road,err_AI cal + road
S-S2,500.0,10306,12706,540.9297128858661,240.0,8.113945693287992,0.8042980344292798,360.83150923896915,865.5861433789812,490.81727018725644,4.2590093984921085,314.72631702248054
S-S2,500.0,11106,13066,533.8482929456068,196.0,9.805376809205022,0.8,401.95746030316593,511.23019545440394,335.0921165117562,14.993751183684857,160.8266889196154
S-S2,500.0,12616,13426,506.13155123928937,81.0,22.494735610635082,0.8,48.85641586632763,710.7272199385454,94.67547674374349,31.396311449475018,40.09461299765572
S-S2,500.0,12976,13876,537.1311207124118,90.0,21.485244828496473,0.8,31.15194654067353,748.5674654354927,129.41376214080597,70.48218028139655,17.992709799745818
S-S2,500.0,13426,14416,533.3228818903253,99.0,19.393559341466375,0.8,124.276550777569,658.1101800857772,270.4916984737063,8.118554229468382,111.3464126033104
S-S2,500.0,13786,14817,586.1877775274215,103.09999999999991,20.468244414148586,0.8,195.38029304795276,776.7472946542506,167.04744356264604,7.657266808491981,18.152195048262225
S-S2,500.0,14326,15177,503.68784354045965,85.09999999999991,21.307593851300314,0.8,156.88020581777786,843.6902021935213,185.07945026679164,11.604366479441156,45.48377528039704
S-S2,500.0,14817,15537,586.9436565436154,72.0,29.34718282718077,0.8,455.8455726039786,285.7351783522673,151.65845734386752,8.268409110954691,8.781130216133674
S-S2,500.0,15177,15806,503.2501162729477,62.90000000000009,28.80286833994609,0.8,412.9023874274515,457.04430703920883,62.084100481718195,5.894562230157068,51.93188780809756
S-S2,500.0,15446,16516,570.4176863588218,107.0,19.191623092446342,0.8,451.4773225835828,323.9183839735654,178.15406993870002,2.050000644221587,28.470897296981104
S-S2,500.0,15806,16786,526.2453751796384,98.0,19.331462761701,0.8,377.39629693274145,834.6638579087956,202.41520597798697,6.589552170670278,57.981901543732356
S-S2,500.0,16426,17146,523.2537200662355,72.0,26.162686003311777,0.8,331.4980354680876,429.33918949148165,120.5230867178921,3.9603941833365037,7.616892915829055
S-S2,500.0,16786,17596,523.5877722628757,81.0,23.27056765612781,0.8,419.5825677481859,904.8057874756689,162.57119538922797,6.189498591844161,26.556015620271772
S-S2,500.0,17146,18137,510.4262052060494,99.09999999999991,18.542223397999795,0.8,439.5405713265302,238.77626686901905,177.4945339793829,2.4998074889320403,40.07854226599013
