held_out,draw,scenario,shape_median_m,shape_p95_m,drift_pct
948G_RVV-2026-08-30_16-31-01,14,3 contributors,2.705394812238656,5.085928150823528,3.913793700122795
948G_RVV-2026-08-30_16-31-01,14,faulty contributor alone,3.957765082700483,42.350744813839775,9.480910598269773
948G_RVV-2026-08-30_16-31-01,14,"3 incl. faulty, averaged",4.151161736485236,17.362482322567306,8.962098305003463
948G_RVV-2026-08-30_16-31-01,14,"3 incl. faulty, median",2.9409501328864085,6.180139811622854,3.913793700122795
948G_RVV-2026-08-30_16-31-01,15,1 contributor,2.702341629476635,5.4332335762309905,3.8551344501538463
948G_RVV-2026-08-30_16-31-01,15,3 contributors,2.1068273940506184,4.938152641010199,3.714808000172367
948G_RVV-2026-08-30_16-31-01,15,faulty contributor alone,8.997800692651762,46.38300665396803,11.729412287108408
948G_RVV-2026-08-30_16-31-01,15,"3 incl. faulty, averaged",3.619700210950926,17.805930687089717,4.468178752456129
948G_RVV-2026-08-30_16-31-01,15,"3 incl. faulty, median",2.105577982444501,5.0839766610248205,3.7144918815982653
948G_RVV-2026-08-30_16-31-01,16,1 contributor,5.499449304636526,34.35749012933053,1.5171923885483392
948G_RVV-2026-08-30_16-31-01,16,3 contributors,2.391596656755179,7.985770405419434,0.9310095043947441
948G_RVV-2026-08-30_16-31-01,16,faulty contributor alone,4.142908705711918,42.218191137653236,9.474911847793347
948G_RVV-2026-08-30_16-31-01,16,"3 incl. faulty, averaged",5.731801540970924,16.723021490906294,3.8348601196290457
948G_RVV-2026-08-30_16-31-01,16,"3 incl. faulty, median",5.0141066361682025,8.05971139857868,1.5527755790679314
948G_RVV-2026-08-30_16-31-01,17,1 contributor,5.499449304636526,34.35749012933053,1.5171923885483392
948G_RVV-2026-08-30_16-31-01,17,3 contributors,3.7937938004819536,7.9872852790042845,1.1539041599135496
948G_RVV-2026-08-30_16-31-01,17,faulty contributor alone,6.105080307958302,42.760947144708226,13.544018814177305
948G_RVV-2026-08-30_16-31-01,17,"3 incl. faulty, averaged",5.567667914972601,17.460314774620734,3.7295746591777035
948G_RVV-2026-08-30_16-31-01,17,"3 incl. faulty, median",4.649713719154224,7.988441754866745,1.615810297600539
